,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,551,15806307,S2336,720,S2,Male,38,5,114051.97,2,0,1,107577.29,0
1,6897,15709621,S1500,682,S0,Female,54,4,62397.41,1,1,0,113088.6,1
2,4588,15619340,S1865,672,S0,Female,31,5,119903.67,1,1,1,132925.17,0
3,291,15620746,S1672,592,S2,Female,40,4,104257.86,1,1,0,110857.33,0
4,1673,15646372,S2532,753,S2,Male,42,5,120387.73,1,0,1,126378.57,0
5,648,15649129,S1548,575,S0,Female,42,5,104472.9,1,1,1,71641.38,0
6,6113,15729557,S37,572,S0,Male,37,6,135715.66,1,1,0,115928.95,0
7,8957,15579112,S750,753,S1,Female,34,6,124281.61,1,1,0,89136.06,0
8,1678,15680895,S2079,546,S0,Male,46,3,62397.41,2,1,1,79809.09,0
9,5202,15580935,S252,657,S0,Male,45,4,141238.54,2,0,0,95281.51,0
10,4868,15738150,S1717,617,S2,Male,35,4,62397.41,2,1,1,132607.99,0
11,4786,15566495,S2559,508,S0,Female,41,3,62397.41,2,1,1,134048.88,0
12,954,15591628,S750,699,S1,Male,38,6,143156.6,1,1,0,70638.91,0
13,5914,15782100,S2290,542,S2,Male,38,5,62397.41,2,1,0,86374.92,0
14,9889,15626143,S1962,712,S2,Female,47,4,103516.59,1,1,0,127281.65,1
15,4429,15717770,S103,594,S2,Male,41,5,130358.39,1,1,1,109357.38,0
16,7745,15748752,S1424,630,S0,Female,52,6,87082.35,1,1,0,75300.29,0
17,9078,15721658,S594,753,S0,Male,37,5,128739.93,2,1,1,133456.24,0
18,5341,15773709,S1500,674,S1,Male,64,4,131016.4,1,0,0,132033.75,0
19,2708,15771573,S1232,519,S1,Male,42,6,119493.33,1,0,0,62594.12,0
20,5289,15712849,S222,702,S0,Female,40,3,62397.41,2,0,0,118800.93,0
21,4899,15718531,S2494,731,S0,Male,50,6,62397.41,2,0,0,124566.5,0
22,5208,15694566,S2067,688,S0,Male,49,6,62397.41,2,1,0,105593.41,0
23,2249,15747174,S161,689,S2,Male,50,5,62397.41,2,0,1,61806.45,0
24,9533,15586425,S765,617,S2,Male,44,7,137863.18,1,0,0,60463.96,0
25,5642,15650488,S1882,651,S0,Male,40,4,131344.81,1,1,1,73348.44,0
26,4127,15760244,S1658,682,S2,Male,43,5,62397.41,1,1,1,97934.43,0
27,6383,15663770,S2040,584,S0,Male,39,3,118977.14,1,0,0,127881.98,0
